"","CODE_TYPE","CODE_TYPE_CDM","CODE","CODE_LABEL","CODEGRP","CODEGRP_LABEL"
"1","RXNORM","RX","1232194","zolpidem tartrate 1.75 MG Sublingual Tablet","2.16.840.1.113883.3.464.1003.196.12.1480","Nonbenzodiazepine hypnotics"
"2","RXNORM","RX","1232202","zolpidem tartrate 3.5 MG Sublingual Tablet","2.16.840.1.113883.3.464.1003.196.12.1480","Nonbenzodiazepine hypnotics"
"3","RXNORM","RX","313761","zaleplon 10 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1480","Nonbenzodiazepine hypnotics"
"4","RXNORM","RX","313762","zaleplon 5 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1480","Nonbenzodiazepine hypnotics"
"5","RXNORM","RX","485440","eszopiclone 1 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1480","Nonbenzodiazepine hypnotics"
"6","RXNORM","RX","485442","eszopiclone 2 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1480","Nonbenzodiazepine hypnotics"
"7","RXNORM","RX","485465","eszopiclone 3 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1480","Nonbenzodiazepine hypnotics"
"8","RXNORM","RX","828692","zolpidem tartrate 5 MG/ACTUAT Oral Spray","2.16.840.1.113883.3.464.1003.196.12.1480","Nonbenzodiazepine hypnotics"
"9","RXNORM","RX","836641","zolpidem tartrate 10 MG Sublingual Tablet","2.16.840.1.113883.3.464.1003.196.12.1480","Nonbenzodiazepine hypnotics"
"10","RXNORM","RX","836647","zolpidem tartrate 5 MG Sublingual Tablet","2.16.840.1.113883.3.464.1003.196.12.1480","Nonbenzodiazepine hypnotics"
"11","RXNORM","RX","854873","zolpidem tartrate 10 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1480","Nonbenzodiazepine hypnotics"
"12","RXNORM","RX","854876","zolpidem tartrate 5 MG Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1480","Nonbenzodiazepine hypnotics"
"13","RXNORM","RX","854880","zolpidem tartrate 12.5 MG Extended Release Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1480","Nonbenzodiazepine hypnotics"
"14","RXNORM","RX","854894","zolpidem tartrate 6.25 MG Extended Release Oral Tablet","2.16.840.1.113883.3.464.1003.196.12.1480","Nonbenzodiazepine hypnotics"
"15","RXNORM","RX","1648755","nitrofurantoin, macrocrystals 25 MG / nitrofurantoin, monohydrate 75 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1481","Anti Infectives, other"
"16","RXNORM","RX","1648759","nitrofurantoin, macrocrystals 100 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1481","Anti Infectives, other"
"17","RXNORM","RX","311989","nitrofurantoin 5 MG/ML Oral Suspension","2.16.840.1.113883.3.464.1003.196.12.1481","Anti Infectives, other"
"18","RXNORM","RX","311994","nitrofurantoin, macrocrystals 25 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1481","Anti Infectives, other"
"19","RXNORM","RX","311995","nitrofurantoin, macrocrystals 50 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1481","Anti Infectives, other"
"20","RXNORM","RX","1298088","flurazepam hydrochloride 15 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"21","RXNORM","RX","1298091","flurazepam hydrochloride 30 MG Oral Capsule","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"22","RXNORM","RX","1551393","2 ML midazolam 5 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
"23","RXNORM","RX","1551395","1 ML midazolam 5 MG/ML Prefilled Syringe","2.16.840.1.113883.3.464.1003.196.12.1522","Benzodiazepine"
